answer	clue
ABSOLUTESPACE	physical space independent of what occupies it
ABSOLUTETEMPERATURE	temperature measured on the absolute scale
ABSOLUTETHRESHOLD	the lowest level of stimulation that a person can detect
ABSOLUTEVALUE	a real number regardless of its sign
ABSOLUTEVISCOSITY	a measure of the resistance to flow of a fluid under an applied force
ABSOLUTION	the act of absolving or remitting; formal redemption as pronounced by a priest in the sacrament of penance
ABSOLUTISATION	the process of rendering something absolute or converting it into an absolute.
ABSOLUTISM	the doctrine of an absolute being, often related to idealism in philosophy.
ABSOLUTIST	pertaining to the principle of totalitarianism
ABSOLUTISTIC	pertaining to the principle of totalitarianism
ABSOLUTIZATION	the process of rendering something absolute or converting it into an absolute.
ABSOLVE	let off the hook
ABSOLVED	freed from any question of guilt
ABSOLVER	someone who grants absolution
ABSOLVITORY	providing absolution
ABSORB	cause to become one with
ABSORBABLE	capable of being absorbed or taken in through the pores of a surface
ABSORBANCE	(physics) a measure of the extent to which a substance transmits light or other electromagnetic radiation
ABSORBATE	a material that has been or is capable of being absorbed
ABSORBED	giving or marked by complete attention to
ABSORBEFACIENT	inducing or promoting absorption
ABSORBENCY	the property of being absorbent
ABSORBENT	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
ABSORBENTCOTTON	cotton made absorbent by removal of the natural wax
ABSORBENTMATERIAL	a material having capacity or tendency to absorb another substance
ABSORBER	(physics) material in a nuclear reactor that absorbs radiation
ABSORBING	capable of arousing and holding the attention
ABSORPTION	the mental state of being preoccupied by something
ABSORPTIONINDICATOR	an indicator used in reactions that involve precipitation
ABSORPTIONUNIT	a unit for measuring absorption
ABSORPTIVE	having power or capacity or tendency to absorb or soak up something (liquids or energy etc.)
ABSQUATULATE	run away; usually includes taking something or somebody along
ABSTAIN	choose not to consume
ABSTAINER	a person who refrains from drinking intoxicating beverages
ABSTEMIOUS	sparing in consumption of especially food and drink
ABSTEMIOUSLY	in a sparing manner; without overindulgence
ABSTEMIOUSNESS	moderation in eating and drinking
ABSTENTION	the trait of abstaining (especially from alcohol)
ABSTENTIOUS	self-restraining; not indulging an appetite especially for food or drink
ABSTINENCE	act or practice of refraining from indulging an appetite
ABSTINENT	self-restraining; not indulging an appetite especially for food or drink
ABSTRACT	existing only in the mind; separated from embodiment
ABSTRACTART	an abstract genre of art; artistic content depends on internal form rather than pictorial representation
ABSTRACTARTIST	a painter of abstract pictures
ABSTRACTED	lost in thought; showing preoccupation
ABSTRACTEDLY	in an absentminded or preoccupied manner
ABSTRACTEDNESS	preoccupation with something to the exclusion of all else
ABSTRACTENTITY	a general concept formed by extracting common features from specific examples
ABSTRACTER	one who makes abstracts or summarizes information
ABSTRACTION	a general concept formed by extracting common features from specific examples
ABSTRACTIONISM	an abstract genre of art; artistic content depends on internal form rather than pictorial representation
ABSTRACTIONIST	not representing or imitating external reality or the objects of nature
ABSTRACTIVE	of an abstracting nature or having the power of abstracting
ABSTRACTLY	in abstract terms
ABSTRACTNESS	the quality of being considered apart from a specific instance or object
ABSTRACTOR	one who makes abstracts or summarizes information
ABSTRACTTHOUGHT	thinking that is coherent and logical
ABSTRUSE	difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge
ABSTRUSELY	in a manner difficult to understand
ABSTRUSENESS	the quality of being unclear or abstruse and hard to understand
ABSTRUSITY	wisdom that is recondite and abstruse and profound
ABSURD	inconsistent with reason or logic or common sense
ABSURDITY	a ludicrous folly
ABSURDLY	in an absurd manner or to an absurd degree
ABSURDNESS	a message whose content is at variance with reason
ABUDEFDUF	a genus of sergeant-majors (Abudefduf)
